time,x,y,z
13.743,-1.101,-2.248,18.583
13.763,-1.328,-2.440,17.672
13.783,-1.554,-2.698,16.825
13.803,-1.790,-3.029,16.044
13.823,-2.051,-3.440,15.331
13.848,-2.422,-4.059,14.561
13.872,-2.864,-4.837,13.919
13.897,-3.395,-5.804,13.434
13.921,-4.044,-6.987,13.150
13.948,-4.935,-8.573,13.143
13.975,-6.035,-10.492,13.594
14.002,-7.364,-12.711,14.681
14.029,-8.923,-15.070,16.620
14.047,-10.049,-16.559,18.454
14.065,-11.219,-17.839,20.782
14.083,-12.378,-18.732,23.579
14.101,-13.449,-19.048,26.740
14.118,-14.341,-18.605,30.076
14.136,-14.944,-17.334,33.264
14.154,-15.165,-15.287,35.978
14.172,-14.964,-12.634,37.966
14.187,-14.455,-10.109,38.953
14.202,-13.662,-7.593,39.266
14.217,-12.637,-5.268,38.968
14.232,-11.450,-3.263,38.182
14.248,-10.121,-1.580,37.009
14.264,-8.772,-0.319,35.615
14.280,-7.467,0.554,34.118
14.295,-6.249,1.114,32.611
14.313,-5.014,1.474,30.969
14.331,-3.940,1.622,29.409
14.349,-3.028,1.634,27.944
14.367,-2.270,1.570,26.574
14.388,-1.534,1.449,25.028
14.410,-0.966,1.321,23.593
14.432,-0.536,1.213,22.255
14.453,-0.207,1.140,21.002
14.478,0.087,1.098,19.671
14.502,0.313,1.112,18.431
14.527,0.489,1.189,17.277
14.551,0.648,1.321,16.203
14.574,0.802,1.489,15.279
14.596,0.965,1.713,14.419
14.619,1.144,2.005,13.621
14.641,1.353,2.372,12.886
14.668,1.660,2.923,12.101
14.695,2.043,3.637,11.422
14.722,2.524,4.558,10.875
14.749,3.138,5.733,10.502
14.778,4.016,7.375,10.374
14.808,5.156,9.490,10.684
14.837,6.606,12.112,11.671
14.867,8.405,15.113,13.687
14.886,9.728,17.087,15.691
14.904,11.153,18.904,18.381
14.923,12.616,20.305,21.781
14.942,14.008,20.976,25.783
14.956,14.925,20.801,29.042
14.970,15.650,19.934,32.301
14.984,16.114,18.353,35.331
14.999,16.264,16.125,37.910
15.013,16.068,13.407,39.829
15.027,15.521,10.454,40.983
15.041,14.652,7.515,41.361
15.055,13.521,4.792,41.036
15.070,12.166,2.377,40.132
15.084,10.701,0.439,38.831
15.099,9.208,-1.011,37.294
15.113,7.751,-2.027,35.675
15.128,6.335,-2.718,34.027
15.143,5.040,-3.123,32.445
15.158,3.884,-3.321,30.958
15.173,2.873,-3.384,29.577
15.194,1.716,-3.352,27.853
15.214,0.785,-3.262,26.292
15.235,0.045,-3.176,24.868
15.255,-0.546,-3.133,23.563
15.275,-1.011,-3.149,22.404
